RANK,ADDRESS,NAME,CATEGORY,REVIEWS
1,5 Avenue Anatole France,Tour Eiffel,Landmark,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91211
2,Place Georges Pompidou,Musee National d'Art Moderne,Art Museum,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83523
3,Hyatt Regency Paris Etoile,Bar La Vue,Hotel Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85349
4,23 rue Mazarine,Prescription Cocktail Club,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83997
5,200 Quai de Valmy,Point Ephemare,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84761
6,16 Rue du Repos,Cimetiare du Pare Lachaise,Cemetery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83486
7,5 Rue Daunou,Harry's New York Bar,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83384
8,17 Rue de l'Ancienne Comedie,Pub Saint-Germain,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83399
9,Paris,Paris,City,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90668
10,80 Quai de Jemmapes,Le Comptoir General,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83793
11,19 Avenue Victoria,Le Dernier Bar avant la Fin du Monde,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89931
12,49 Rue Pierre Charron,Pershing Hall,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83321
13,142 Rue Montmartre,Social Club,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83426
14,8 rue de Navarin,Hotel Amour,Hotel Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83256
15,16 rue des Quatre Vents,The Moose,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83388
16,37 Rue Saint-Sauveur,Experimental Cocktail Club,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83926
17,7 Place de la Rotonde,UGC Cine Cite Les Halles,Multiplex,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83708
18,Quai de Valmy,Canal Saint-Martin,River,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84496
19,8 Boulevard de Bercy,Palais Omnisports de Paris-Bercy,Music Venue,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83702
20,102 Avenue des Champs-Elysees,Le Queen,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83452
21,16 rue des Bernardins,Curio Parlor,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83973
22,17 boulevard Poissonniare,James Hetfeeld's Pub,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86365
23,Place de la Bastille,Place de la Bastille,Plaza,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83484
24,5 Boulevard Poissonniare,Rex Club,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83448
25,2 rue Cambronne,Ibis Tour Eiffel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84818
26,Pont des Arts,Pont des Arts,Bridge,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83499
27,188 Rue de Rivoli,VIP Room,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83981
28,7 Rue Moret,L'International,Rock Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83443
29,23 boulevard Poissonniare,Corcoran's,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84498
30,36 Quai d'austerlitz,Le Neba,Lounge,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90262
31,6 avenue Marceau,Le Baron,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85295
32,11 Quai Franeois Mauriac,Le Batofar,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83383
33,4 Boulevard Malesherbes,Le Forvm,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84254
34,80 Boulevard de Rochechouart,Le Trianon,Concert Hall,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83735
35,18 rue du Temple,Voulez-Vous,Gay Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85488
36,12-14 rue Joseph-de-Maistre,Terrass Hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84781
37,Rue Francoeur,Cafe Francoeur,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84127
38,Le Marais,Le Marais,Neighborhood,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86609
39,2 Place Colette,Jardin du Palais Royal,Garden,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85345
40,120 Boulevard de Rochechouart,La Cigale,Music Venue,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84026
41,33 Cour Saint-Emilion,Chai 33,Wine Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83650
42,105 Rue Oberkampf,La Place Verte,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84526
43,16 Rue de la Forge Royale,Le Reservoir,Rock Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84776
44,28 rue Keller,Bacardi Mojito Lab,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87282
45,148 Rue du Faubourg Saint-Martin,Cafe A,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86420
46,110 Bis Avenue Kleber,Frog XVI,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84870
47,116 bis avenue des Champs-Elysees,Lido de Paris,Strip Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83707
48,30 Avenue Corentin Cariou,Le Zenith,Concert Hall,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83748
49,12 Avenue George V,Crazy Horse,Strip Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85120
50,6 Rue Georges Desplas,Grande Mosquee de Paris,Mosque,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83482
